ID,Freq of occurence of ID
441,123
378,116
749,92
91,89
4239,87
5457,75
3517,71
381,66
3677,66
3675,64
5774,63
5133,62
1891,62
4804,61
7347,61
4577,61
3556,60
1858,58
5549,58
382,57
1770,56
1869,56
4805,56
8088,56
1782,55
632,55
80,55
65,54
3672,54
52,53
3681,53
9095,53
75,53
3489,53
1824,52
447,52
1786,52
4596,52
4822,52
1759,52
4955,52
79,51
1880,51
58,51
1913,51
290,51
1757,51
1834,50
377,50
6049,50
51,50
5560,50
283,50
278,50
1753,49
5105,49
766,49
1883,49
6500,49
380,49
1848,48
5060,48
57,48
5604,48
1904,48
55,48
9087,48
54,47
767,47
5062,47
3952,47
7133,47
1828,46
1881,46
446,46
4603,46
5689,46
69,45
1901,45
60,45
1820,45
5354,45
5783,44
59,44
66,44
95,44
1909,44
11802,44
5786,44
1760,44
1856,44
1863,43
76,43
1762,43
8423,43
73,43
72,43
61,43
62,43
70,43
111,42
67,42
5690,42
5781,42
7085,42
56,42
5388,42
71,42
68,41
53,41
4820,41
5787,41
7073,41
9236,41
9539,41
7050,41
115,41
103,41
8170,41
5746,41
63,41
379,41
7048,40
5788,40
1799,40
5782,40
3078,40
280,40
6147,40
9579,39
5776,39
5493,39
5775,39
7074,39
5785,39
6008,39
2382,39
5061,39
2400,38
281,38
1178,38
7080,38
2403,37
227,37
8171,37
7112,37
7076,37
64,37
5198,37
2392,37
7051,37
8469,36
2485,36
5519,36
8129,36
3284,36
8172,36
3286,36
5420,36
10569,35
7616,35
108,35
2370,35
7597,34
8332,34
2396,34
2461,34
1543,34
5948,34
5197,34
10905,34
2414,34
11043,34
4938,34
4964,33
747,33
4564,33
9140,33
2489,33
4828,33
2375,32
4937,32
7228,32
2895,32
5183,32
5436,32
135,32
9225,32
2373,31
2390,31
32,31
282,31
2463,31
4422,31
2467,31
9164,31
418,31
4426,31
4869,30
1123,30
4607,30
99,30
641,30
96,30
219,30
4815,30
5808,30
2394,30
92,30
1172,29
3069,29
4826,29
5190,29
5696,29
6525,29
4249,29
3893,29
4952,29
4576,29
77,29
2454,29
748,29
148,29
5037,29
93,29
5138,29
4875,28
5779,28
407,28
119,28
6918,28
8759,28
10986,28
5038,27
1317,27
4825,27
11018,27
3014,27
116,27
3340,27
324,27
4,27
4881,27
2474,27
5766,27
3145,27
2398,27
3023,27
10935,27
81,27
7485,27
4932,26
9352,26
22,26
3287,26
206,26
3514,26
287,26
6723,26
11880,26
1312,25
6486,25
288,25
2402,25
2752,25
4827,25
309,25
552,25
329,25
4727,25
2410,25
432,25
6530,25
3573,25
4431,25
1919,25
4867,25
97,25
3019,25
739,25
94,25
5040,25
6880,24
3015,24
5530,24
104,24
3086,24
105,24
3411,24
2488,24
9001,24
3034,24
78,24
6898,24
2014,24
7985,24
4796,24
6484,24
5444,24
2792,24
3033,24
9903,24
13,24
4726,23
7496,23
87,23
98,23
5482,23
6043,23
4777,23
2446,23
4775,23
5615,23
3072,23
7219,23
9432,23
112,23
5131,23
2023,23
410,23
83,23
